run_id,sequence_accession,score,percent_identity,n_reads
DRR065494,NC_001348.1,1,97,1
DRR065496,NC_001348.1,1,95,3
DRR065663,NC_001348.1,2,82,1
DRR117933,NC_001348.1,2,86,1
DRR117934,NC_001348.1,2,86,1
DRR117935,NC_001348.1,2,86,2
DRR117936,NC_001348.1,2,86,3
DRR117937,NC_001348.1,2,86,1
DRR117941,NC_001348.1,2,86,1
DRR117943,NC_001348.1,2,86,4
DRR117944,NC_001348.1,2,86,2
DRR118327,NC_001348.1,1,100,1
DRR118334,NC_001348.1,1,97,1
DRR118339,NC_001348.1,1,97,1
DRR071072,NC_001348.1,1,96,4
DRR035976,NC_001348.1,1,97,1
DRR035995,NC_001348.1,1,97,1
DRR049384,NC_001348.1,1,90,1
DRR049385,NC_001348.1,1,90,1
DRR049386,NC_001348.1,1,90,3
DRR049635,NC_001348.1,1,97,1
DRR049636,NC_001348.1,1,97,1
DRR049637,NC_001348.1,1,100,1
DRR049640,NC_001348.1,1,100,1
DRR049641,NC_001348.1,1,92,1
DRR049643,NC_001348.1,1,95,3
DRR049645,NC_001348.1,1,98,4
DRR049646,NC_001348.1,1,97,1
DRR159244,NC_001348.1,1,90,1
DRR049647,NC_001348.1,1,97,1
DRR049653,NC_001348.1,1,92,1
DRR049655,NC_001348.1,1,98,2
DRR049656,NC_001348.1,5,96,8
DRR207911,NC_001348.1,1,89,1
DRR049657,NC_001348.1,5,95,10
DRR036857,NC_001348.1,1,98,2
DRR036858,NC_001348.1,1,97,2
DRR059467,NC_001348.1,5,94,12
DRR059468,NC_001348.1,1,88,1
DRR095964,NC_001348.1,6,90,14
DRR095965,NC_001348.1,1,90,1
DRR095966,NC_001348.1,1,90,6
DRR095967,NC_001348.1,1,90,1
DRR095968,NC_001348.1,5,90,13
DRR095969,NC_001348.1,1,90,1
DRR095970,NC_001348.1,1,90,2
DRR095971,NC_001348.1,1,90,1
DRR095972,NC_001348.1,1,90,5
DRR095975,NC_001348.1,1,90,1
DRR049658,NC_001348.1,1,97,2
DRR049660,NC_001348.1,1,97,1
DRR049663,NC_001348.1,1,94,2
DRR049665,NC_001348.1,5,90,9
DRR096596,NC_001348.1,6,88,564
DRR076261,NC_001348.1,1,100,1
DRR096597,NC_001348.1,6,88,534
DRR039894,NC_001348.1,1,100,1
DRR039896,NC_001348.1,1,93,1
DRR096598,NC_001348.1,6,88,59
DRR096599,NC_001348.1,6,88,73
DRR096600,NC_001348.1,6,88,174
DRR096601,NC_001348.1,6,88,193
DRR098740,NC_001348.1,1,97,1
DRR096602,NC_001348.1,6,87,211
DRR096603,NC_001348.1,6,87,183
DRR039897,NC_001348.1,1,100,1
DRR050174,NC_001348.1,1,97,1
DRR217144,NC_001348.1,1,97,1
DRR088580,NC_001348.1,1,89,1
DRR218952,NC_001348.1,1,97,1
DRR046906,NC_001348.1,1,97,1
DRR046914,NC_001348.1,1,97,1
DRR100344,NC_001348.1,1,97,1
DRR050342,NC_001348.1,1,100,1
DRR140510,NC_001348.1,1,100,2
ERR1075423,NC_001348.1,4,100,9
DRR088594,NC_001348.1,1,97,1
DRR091132,NC_001348.1,2,76,1
DRR131063,NC_001348.1,5,93,20
DRR131064,NC_001348.1,5,94,40
DRR131065,NC_001348.1,5,94,22
DRR131416,NC_001348.1,1,91,2
DRR131418,NC_001348.1,1,91,3
DRR131419,NC_001348.1,1,91,5
DRR131420,NC_001348.1,6,87,14
DRR131422,NC_001348.1,1,91,6
DRR131423,NC_001348.1,6,89,8
DRR131424,NC_001348.1,1,91,2
DRR131425,NC_001348.1,6,89,16
DRR131426,NC_001348.1,5,90,30
DRR131427,NC_001348.1,5,91,29
DRR131428,NC_001348.1,1,91,2
DRR131429,NC_001348.1,1,91,5
DRR131430,NC_001348.1,1,91,1
DRR131431,NC_001348.1,1,91,7
DRR131432,NC_001348.1,5,91,12
DRR131433,NC_001348.1,1,91,7
DRR131434,NC_001348.1,5,91,9
DRR131435,NC_001348.1,5,91,16
DRR131436,NC_001348.1,5,91,13
DRR131437,NC_001348.1,5,91,14
DRR131438,NC_001348.1,5,91,18
DRR131439,NC_001348.1,5,91,19
DRR091136,NC_001348.1,1,97,1
DRR125071,NC_001348.1,1,100,1
DRR039905,NC_001348.1,1,91,1
DRR099215,NC_001348.1,1,94,1
DRR125072,NC_001348.1,2,100,3
DRR140520,NC_001348.1,1,100,1
DRR086515,NC_001348.1,1,100,1
DRR099453,NC_001348.1,6,88,26
DRR099454,NC_001348.1,6,88,25
DRR100354,NC_001348.1,1,91,1
DRR099455,NC_001348.1,6,87,23
DRR099456,NC_001348.1,6,88,32
DRR099457,NC_001348.1,6,88,37
DRR075381,NC_001348.1,1,93,1
DRR099458,NC_001348.1,6,88,26
DRR099459,NC_001348.1,6,88,35
DRR099460,NC_001348.1,6,87,25
DRR099461,NC_001348.1,6,87,26
DRR099462,NC_001348.1,6,87,26
DRR099463,NC_001348.1,6,88,33
DRR099464,NC_001348.1,6,87,36
DRR086519,NC_001348.1,1,100,1
DRR099465,NC_001348.1,6,88,15
DRR099466,NC_001348.1,6,88,21
DRR099467,NC_001348.1,6,88,19
DRR099468,NC_001348.1,6,88,27
DRR091386,NC_001348.1,1,97,1
DRR099469,NC_001348.1,6,88,25
DRR099470,NC_001348.1,6,88,18
DRR092911,NC_001348.1,1,88,1
DRR099471,NC_001348.1,6,88,31
DRR076626,NC_001348.1,1,91,3
DRR076627,NC_001348.1,1,91,2
DRR099472,NC_001348.1,6,88,25
DRR099473,NC_001348.1,6,88,13
DRR099474,NC_001348.1,6,88,21
DRR099475,NC_001348.1,6,88,23
DRR099476,NC_001348.1,6,88,21
DRR099477,NC_001348.1,6,87,15
DRR099482,NC_001348.1,6,88,11
DRR099478,NC_001348.1,6,88,9
DRR099479,NC_001348.1,6,88,12
DRR099480,NC_001348.1,6,88,9
DRR099481,NC_001348.1,6,89,11
DRR099483,NC_001348.1,6,88,11
DRR099484,NC_001348.1,1,87,7
DRR099485,NC_001348.1,1,88,7
DRR099486,NC_001348.1,6,88,12
DRR099487,NC_001348.1,6,88,9
DRR099488,NC_001348.1,6,88,12
DRR086522,NC_001348.1,1,92,7
DRR099489,NC_001348.1,1,88,4
DRR099490,NC_001348.1,6,88,8
DRR099491,NC_001348.1,1,88,7
DRR099492,NC_001348.1,2,87,6
DRR099493,NC_001348.1,1,87,7
DRR053512,NC_001348.1,2,85,3
DRR053513,NC_001348.1,2,85,1
DRR086523,NC_001348.1,5,93,12
DRR099498,NC_001348.1,6,88,10
DRR076632,NC_001348.1,1,91,1
DRR099494,NC_001348.1,2,87,6
DRR099495,NC_001348.1,6,87,11
DRR099496,NC_001348.1,1,87,5
DRR099497,NC_001348.1,2,86,1
DRR076633,NC_001348.1,1,91,1
DRR076634,NC_001348.1,1,91,1
DRR053514,NC_001348.1,2,84,4
DRR076636,NC_001348.1,1,91,1
DRR053515,NC_001348.1,2,86,4
DRR053516,NC_001348.1,2,86,5
DRR099499,NC_001348.1,2,87,7
DRR099500,NC_001348.1,1,88,7
DRR053517,NC_001348.1,2,79,3
DRR076638,NC_001348.1,1,91,1
