run_id,sequence_accession,score,percent_identity,n_reads
ERR1097476,NC_007545.1,11,86,13
ERR1096474,NC_007545.1,1,94,1
ERR1108186,NC_007545.1,1,96,1
ERR1373665,NC_007545.1,1,100,1
ERR1352906,NC_007545.1,2,94,4
ERR1475735,NC_007545.1,1,100,1
ERR1352910,NC_007545.1,2,95,2
ERR1356693,NC_007545.1,3,92,6
ERR1356695,NC_007545.1,2,97,2
ERR1356701,NC_007545.1,3,92,6
ERR1302663,NC_007545.1,24,86,50
ERR1352938,NC_007545.1,2,96,2
ERR1739848,NC_007545.1,1,97,1
ERR1960626,NC_007545.1,2,93,2
ERR2027875,NC_007545.1,1,98,2
ERR1302763,NC_007545.1,20,86,40
ERR1302764,NC_007545.1,53,87,119
ERR1302766,NC_007545.1,14,86,18
ERR1302767,NC_007545.1,4,83,2
ERR1302785,NC_007545.1,42,87,82
ERR1302786,NC_007545.1,5,84,4
ERR2077078,NC_007545.1,2,85,2
ERR2077089,NC_007545.1,4,80,2
ERR1302788,NC_007545.1,13,86,16
ERR1302789,NC_007545.1,2,86,4
ERR062157,NC_007545.1,1,100,1
ERR1302794,NC_007545.1,3,85,2
ERR1302795,NC_007545.1,3,85,4
ERR2179420,NC_007545.1,13,88,24
ERR1302824,NC_007545.1,30,86,40
ERR1302825,NC_007545.1,3,89,4
ERR1110317,NC_007545.1,2,94,2
ERR1302852,NC_007545.1,28,86,40
ERR1302853,NC_007545.1,65,86,136
ERR1302855,NC_007545.1,9,86,14
ERR1302856,NC_007545.1,2,85,2
ERR2762100,NC_007545.1,1,100,1
ERR1302874,NC_007545.1,57,86,102
ERR1302875,NC_007545.1,12,83,10
ERR1302877,NC_007545.1,14,86,12
ERR1302878,NC_007545.1,3,87,4
ERR1302913,NC_007545.1,27,87,50
ERR1302914,NC_007545.1,9,88,14
ERR1663349,NC_007545.1,1,100,1
ERR3465315,NC_007545.1,1,100,1
ERR3178191,NC_007545.1,2,85,2
ERR3178198,NC_007545.1,12,84,8
ERR2718568,NC_007545.1,2,85,2
ERR2718569,NC_007545.1,12,84,8
ERR2809042,NC_007545.1,3,96,3
ERR2001266,NC_007545.1,37,84,72
ERR2809045,NC_007545.1,4,96,6
ERR2001270,NC_007545.1,31,83,54
ERR2809048,NC_007545.1,1,95,1
ERR2809049,NC_007545.1,2,95,2
ERR3170094,NC_007545.1,1,96,1
ERR2809051,NC_007545.1,13,95,20
ERR2809053,NC_007545.1,1,97,1
ERR3525318,NC_007545.1,1,100,1
ERR3650320,NC_007545.1,2,86,1
ERR2809057,NC_007545.1,14,94,25
ERR2809062,NC_007545.1,9,97,14
ERR2809070,NC_007545.1,3,91,2
ERR2809071,NC_007545.1,19,95,25
ERR2809073,NC_007545.1,12,96,21
ERR3568415,NC_007545.1,1,94,1
ERR2809078,NC_007545.1,3,95,3
ERR2809080,NC_007545.1,1,98,1
ERR2809082,NC_007545.1,3,96,3
ERR2809083,NC_007545.1,13,96,30
ERR2809085,NC_007545.1,1,91,1
ERR2809086,NC_007545.1,1,97,1
ERR2809089,NC_007545.1,9,95,18
ERR2809090,NC_007545.1,1,97,1
ERR2809093,NC_007545.1,1,97,1
ERR2809094,NC_007545.1,1,95,1
ERR2809099,NC_007545.1,14,94,17
ERR2809101,NC_007545.1,6,96,6
ERR2809102,NC_007545.1,18,95,33
ERR2809104,NC_007545.1,1,96,1
ERR2809106,NC_007545.1,1,96,1
ERR2809108,NC_007545.1,1,97,1
ERR2809109,NC_007545.1,20,95,41
ERR2809110,NC_007545.1,1,94,1
ERR2809111,NC_007545.1,2,97,2
SRR10056125,NC_007545.1,1,97,1
ERR2809115,NC_007545.1,19,95,43
ERR2809117,NC_007545.1,3,96,3
ERR2809118,NC_007545.1,4,97,6
ERR2809122,NC_007545.1,7,96,7
SRR10039761,NC_007545.1,6,87,4
ERR2809126,NC_007545.1,8,96,13
ERR2809127,NC_007545.1,2,86,1
ERR2815189,NC_007545.1,2,96,3
ERR2815194,NC_007545.1,1,93,1
ERR2815201,NC_007545.1,6,96,7
ERR844333,NC_007545.1,1,100,1
ERR2815207,NC_007545.1,6,94,7
ERR2815210,NC_007545.1,1,93,1
ERR2815211,NC_007545.1,8,94,8
