run_id,sequence_accession,score,percent_identity,n_reads
DRR204692,NC_007544.1,4,100,10
DRR204693,NC_007544.1,4,100,13
DRR204694,NC_007544.1,1,100,5
DRR204695,NC_007544.1,1,100,2
DRR204696,NC_007544.1,4,100,40
DRR204697,NC_007544.1,4,100,18
DRR204698,NC_007544.1,1,100,3
DRR204699,NC_007544.1,1,100,6
DRR204700,NC_007544.1,1,100,6
DRR204701,NC_007544.1,1,100,6
DRR204702,NC_007544.1,4,100,9
DRR204703,NC_007544.1,1,100,6
DRR204705,NC_007544.1,4,100,12
DRR204704,NC_007544.1,1,100,5
ERR1248828,NC_007544.1,1,93,1
DRR204706,NC_007544.1,4,100,20
DRR204708,NC_007544.1,1,100,6
DRR204709,NC_007544.1,4,100,8
DRR204710,NC_007544.1,4,100,13
DRR204711,NC_007544.1,4,100,10
DRR204712,NC_007544.1,4,100,9
DRR179011,NC_007544.1,1,97,1
ERR1352904,NC_007544.1,2,95,2
ERR1352906,NC_007544.1,2,94,2
ERR1352908,NC_007544.1,2,95,2
ERR1352910,NC_007544.1,7,95,6
ERR1356693,NC_007544.1,9,95,18
ERR1611398,NC_007544.1,1,100,1
ERR1356695,NC_007544.1,16,94,22
ERR1356697,NC_007544.1,8,95,26
ERR1356699,NC_007544.1,7,95,10
ERR1356701,NC_007544.1,3,96,8
ERR1356705,NC_007544.1,9,94,10
ERR1095852,NC_007544.1,1,94,1
ERR1356725,NC_007544.1,1,99,2
ERR1356735,NC_007544.1,2,96,2
ERR1356737,NC_007544.1,2,95,2
ERR1960624,NC_007544.1,5,94,4
ERR1960625,NC_007544.1,6,93,6
ERR1960626,NC_007544.1,1,98,2
ERR1356759,NC_007544.1,2,96,2
ERR1302763,NC_007544.1,1,89,2
ERR1302764,NC_007544.1,1,100,2
ERR1302766,NC_007544.1,2,96,4
ERR162250,NC_007544.1,1,96,1
ERR1110300,NC_007544.1,1,96,1
ERR1302785,NC_007544.1,1,90,2
ERR1302786,NC_007544.1,1,100,1
ERR2309081,NC_007544.1,1,89,1
ERR1758960,NC_007544.1,2,82,1
ERR1302852,NC_007544.1,2,85,2
ERR1302853,NC_007544.1,2,75,2
ERR1302855,NC_007544.1,2,93,2
ERR2298125,NC_007544.1,5,95,46
ERR2762121,NC_007544.1,1,97,1
ERR1302874,NC_007544.1,3,92,4
ERR2899762,NC_007544.1,2,85,1
ERR1606219,NC_007544.1,1,100,1
ERR2897351,NC_007544.1,2,78,1
ERR2809040,NC_007544.1,1,97,1
ERR2001266,NC_007544.1,1,90,4
ERR2809045,NC_007544.1,6,94,6
ERR2896505,NC_007544.1,2,85,1
ERR2001270,NC_007544.1,1,91,2
ERR3170085,NC_007544.1,1,96,1
ERR2809048,NC_007544.1,6,96,9
ERR2809049,NC_007544.1,5,96,6
ERR2809051,NC_007544.1,15,95,22
ERR2809053,NC_007544.1,3,96,8
ERR2809055,NC_007544.1,1,98,2
ERR2809057,NC_007544.1,22,94,44
ERR2809059,NC_007544.1,1,91,1
ERR2809062,NC_007544.1,19,94,31
ERR2809064,NC_007544.1,1,93,1
ERR2896778,NC_007544.1,2,83,1
ERR2809071,NC_007544.1,22,95,46
ERR2809073,NC_007544.1,19,94,22
ERR2809078,NC_007544.1,5,95,6
ERR2809082,NC_007544.1,7,95,7
ERR2809083,NC_007544.1,13,95,29
ERR2809085,NC_007544.1,1,94,2
ERR376110,NC_007544.1,1,90,4
ERR2809086,NC_007544.1,3,96,8
ERR2897924,NC_007544.1,2,78,1
ERR2809089,NC_007544.1,12,94,17
ERR2809090,NC_007544.1,4,96,4
ERR2809091,NC_007544.1,1,95,1
ERR2809092,NC_007544.1,1,95,1
ERR2809093,NC_007544.1,6,95,9
ERR2809097,NC_007544.1,1,97,1
ERR2809099,NC_007544.1,12,94,15
ERR2809101,NC_007544.1,12,94,17
ERR2809102,NC_007544.1,17,95,29
ERR2809104,NC_007544.1,1,96,2
ERR2809106,NC_007544.1,5,94,4
ERR2809109,NC_007544.1,21,94,48
ERR2809111,NC_007544.1,5,95,6
ERR2809114,NC_007544.1,1,96,2
ERR2809115,NC_007544.1,25,94,50
ERR2809118,NC_007544.1,14,95,18
ERR2809122,NC_007544.1,7,94,6
ERR2809126,NC_007544.1,21,94,31
ERR1712046,NC_007544.1,1,97,1
ERR2815189,NC_007544.1,6,93,7
SRR10032213,NC_007544.1,1,97,1
ERR2815194,NC_007544.1,4,91,5
ERR969491,NC_007544.1,1,100,1
ERR969497,NC_007544.1,1,99,2
ERR2815199,NC_007544.1,1,95,1
ERR969498,NC_007544.1,2,98,2
ERR2815201,NC_007544.1,10,93,14
ERR2815207,NC_007544.1,10,94,12
ERR868359,NC_007544.1,1,100,1
ERR2815210,NC_007544.1,4,95,5
ERR2815211,NC_007544.1,9,93,9
SRR032083,NC_007544.1,1,100,1
ERR2815214,NC_007544.1,14,93,13
SRR1046032,NC_007544.1,1,100,1
SRR10097589,NC_007544.1,2,96,2
ERR2815232,NC_007544.1,1,96,1
ERR653340,NC_007544.1,1,97,1
SRR10366051,NC_007544.1,1,96,1
ERR1302425,NC_007544.1,1,100,2
SRR1047384,NC_007544.1,2,87,1
ERR2815243,NC_007544.1,18,94,30
ERR2815246,NC_007544.1,23,94,52
ERR2815250,NC_007544.1,7,93,8
ERR894758,NC_007544.1,1,100,1
ERR2815253,NC_007544.1,1,96,1
SRR10522288,NC_007544.1,5,96,6
ERR2815254,NC_007544.1,18,94,30
SRR10522289,NC_007544.1,7,94,14
SRR10522290,NC_007544.1,15,94,20
SRR10522291,NC_007544.1,10,96,14
ERR2815257,NC_007544.1,1,95,1
SRR10522297,NC_007544.1,3,97,4
ERR2815260,NC_007544.1,9,94,14
SRR10522300,NC_007544.1,4,96,4
SRR10522301,NC_007544.1,5,94,4
SRR10522302,NC_007544.1,9,95,12
ERR2815264,NC_007544.1,24,93,50
ERR2815265,NC_007544.1,1,95,1
ERR2815267,NC_007544.1,1,93,1
SRR11241196,NC_007544.1,2,96,2
ERR2815275,NC_007544.1,6,94,9
ERR1302517,NC_007544.1,1,94,2
SRR11219607,NC_007544.1,1,100,1
SRR10972807,NC_007544.1,1,89,5
SRR10972810,NC_007544.1,1,88,4
SRR10972811,NC_007544.1,1,89,3
SRR11085718,NC_007544.1,1,92,1
SRR032366,NC_007544.1,1,100,1
SRR11945326,NC_007544.1,1,100,1
SRR11742302,NC_007544.1,1,100,1
SRR060417,NC_007544.1,1,89,1
SRR11313895,NC_007544.1,1,97,1
SRR11522597,NC_007544.1,1,89,1
SRR11522606,NC_007544.1,1,89,1
SRR11776557,NC_007544.1,1,100,7
SRR1167486,NC_007544.1,2,87,1
SRR11486167,NC_007544.1,1,89,1
SRR11486168,NC_007544.1,1,89,1
SRR11614699,NC_007544.1,1,100,1
SRR1547827,NC_007544.1,1,97,1
SRR11393440,NC_007544.1,1,96,1
SRR11561937,NC_007544.1,1,97,1
SRR1374342,NC_007544.1,1,97,1
SRR1662291,NC_007544.1,1,94,1
ERR599248,NC_007544.1,1,100,1
SRR1207181,NC_007544.1,2,81,1
SRR1702554,NC_007544.1,1,94,1
SRR1702557,NC_007544.1,1,94,1
SRR2068555,NC_007544.1,1,100,1
SRR2132745,NC_007544.1,1,97,1
SRR3021848,NC_007544.1,2,86,1
SRR2918075,NC_007544.1,1,100,1
SRR2918078,NC_007544.1,1,100,1
SRR2918079,NC_007544.1,1,98,2
SRR2918083,NC_007544.1,1,100,2
SRR2918085,NC_007544.1,1,99,4
SRR2918086,NC_007544.1,1,100,3
SRR2918088,NC_007544.1,1,93,2
SRR11462717,NC_007544.1,1,88,1
SRR1296976,NC_007544.1,2,87,1
SRR1557115,NC_007544.1,1,93,1
SRR2771409,NC_007544.1,2,86,1
SRR1502166,NC_007544.1,1,93,1
SRR1168227,NC_007544.1,1,100,1
SRR2070526,NC_007544.1,1,94,1
SRR2123989,NC_007544.1,1,94,1
SRR2070536,NC_007544.1,1,94,2
SRR3593896,NC_007544.1,2,87,1
SRR3106554,NC_007544.1,1,94,1
SRR2412143,NC_007544.1,1,100,1
SRR346511,NC_007544.1,1,100,2
SRR346514,NC_007544.1,1,98,4
SRR3168630,NC_007544.1,1,88,2
SRR3465886,NC_007544.1,1,94,1
SRR3112350,NC_007544.1,1,97,1
SRR351335,NC_007544.1,1,91,1
SRR351336,NC_007544.1,1,91,1
SRR3202633,NC_007544.1,1,94,1
SRR3213648,NC_007544.1,1,100,1
SRR364840,NC_007544.1,1,89,1
SRR1324866,NC_007544.1,2,75,1
SRR3610487,NC_007544.1,1,92,1
SRR2145477,NC_007544.1,1,92,1
SRR5092529,NC_007544.1,1,100,1
SRR352262,NC_007544.1,1,90,1
SRR447140,NC_007544.1,1,100,1
SRR3587278,NC_007544.1,2,75,1
SRR3138979,NC_007544.1,2,83,1
SRR4003793,NC_007544.1,1,100,1
SRR3083743,NC_007544.1,1,100,1
SRR1737744,NC_007544.1,1,94,1
SRR3189327,NC_007544.1,1,100,1
SRR4246933,NC_007544.1,1,100,1
SRR446007,NC_007544.1,1,90,1
SRR5197737,NC_007544.1,1,89,1
SRR4188496,NC_007544.1,1,96,1
SRR5170986,NC_007544.1,1,100,1
SRR2962469,NC_007544.1,1,94,1
SRR4249481,NC_007544.1,2,87,1
SRR1170573,NC_007544.1,1,91,1
SRR5269557,NC_007544.1,1,90,1
SRR5568588,NC_007544.1,1,100,3
SRR5568590,NC_007544.1,1,100,2
SRR5568593,NC_007544.1,1,100,1
SRR5614356,NC_007544.1,1,100,7
SRR5614358,NC_007544.1,1,100,3
SRR4445963,NC_007544.1,2,87,1
SRR5760512,NC_007544.1,1,96,1
SRR5467139,NC_007544.1,3,91,2
SRR5117993,NC_007544.1,2,82,1
SRR5663678,NC_007544.1,1,94,1
SRR5650928,NC_007544.1,1,97,1
SRR492039,NC_007544.1,1,100,1
SRR5438343,NC_007544.1,1,89,1
SRR449413,NC_007544.1,2,84,1
SRR5957744,NC_007544.1,1,100,3
SRR5957745,NC_007544.1,4,89,4
SRR5810671,NC_007544.1,1,94,1
SRR4341166,NC_007544.1,2,87,1
SRR6129579,NC_007544.1,45,94,150
SRR6050528,NC_007544.1,3,92,2
SRR4836618,NC_007544.1,1,97,1
SRR3133779,NC_007544.1,1,97,1
SRR6144796,NC_007544.1,1,100,1
SRR6269013,NC_007544.1,1,95,2
SRR5515946,NC_007544.1,1,92,1
SRR5050801,NC_007544.1,6,95,5
SRR6169987,NC_007544.1,2,79,1
SRR6215532,NC_007544.1,1,96,1
SRR6434433,NC_007544.1,1,89,1
SRR5882595,NC_007544.1,1,91,1
SRR6049189,NC_007544.1,2,93,4
SRR6284155,NC_007544.1,3,91,2
SRR620527,NC_007544.1,1,100,1
SRR6284157,NC_007544.1,5,90,4
SRR6302588,NC_007544.1,3,88,8
SRR4082002,NC_007544.1,1,100,1
SRR6211744,NC_007544.1,1,91,1
SRR4082010,NC_007544.1,1,94,1
SRR567946,NC_007544.1,1,100,1
SRR669790,NC_007544.1,1,94,1
SRR6263337,NC_007544.1,6,92,16
SRR4028169,NC_007544.1,1,100,1
SRR6289818,NC_007544.1,2,86,1
SRR5947148,NC_007544.1,2,94,2
SRR5947151,NC_007544.1,1,100,1
SRR5947152,NC_007544.1,1,100,3
SRR5947153,NC_007544.1,1,100,1
SRR5947156,NC_007544.1,3,89,2
SRR6674622,NC_007544.1,1,97,1
SRR5868319,NC_007544.1,7,95,6
SRR6912051,NC_007544.1,2,86,1
SRR6676313,NC_007544.1,1,94,1
SRR5945713,NC_007544.1,1,93,1
SRR6794660,NC_007544.1,1,97,1
SRR6908679,NC_007544.1,1,94,1
SRR6932632,NC_007544.1,1,100,1
SRR6804605,NC_007544.1,1,94,1
SRR6808584,NC_007544.1,2,94,4
SRR6808589,NC_007544.1,1,92,4
SRR6994483,NC_007544.1,2,82,4
SRR6426874,NC_007544.1,1,100,1
SRR6829379,NC_007544.1,1,96,1
SRR6829380,NC_007544.1,1,97,1
SRR6806751,NC_007544.1,1,100,1
SRR6829388,NC_007544.1,1,94,1
SRR6829399,NC_007544.1,1,94,1
SRR7110453,NC_007544.1,2,84,1
SRR6829405,NC_007544.1,1,91,2
SRR7300589,NC_007544.1,2,82,1
SRR726299,NC_007544.1,1,93,1
SRR7430621,NC_007544.1,1,97,2
SRR7344657,NC_007544.1,2,83,1
SRR7377680,NC_007544.1,3,90,4
SRR7404757,NC_007544.1,1,100,1
SRR7404758,NC_007544.1,1,100,2
SRR7404759,NC_007544.1,1,100,5
SRR7404760,NC_007544.1,1,100,2
SRR7404765,NC_007544.1,1,100,3
SRR7404766,NC_007544.1,1,100,1
SRR7404769,NC_007544.1,1,100,2
SRR7404770,NC_007544.1,1,100,1
SRR7404771,NC_007544.1,1,100,2
SRR7404772,NC_007544.1,1,100,1
SRR7404773,NC_007544.1,1,100,1
SRR7404774,NC_007544.1,1,100,3
SRR7404775,NC_007544.1,1,99,5
SRR7404778,NC_007544.1,1,100,2
SRR7404779,NC_007544.1,1,100,4
SRR7276821,NC_007544.1,1,97,1
SRR7495625,NC_007544.1,1,94,1
SRR7495664,NC_007544.1,1,94,1
SRR7047825,NC_007544.1,1,96,1
SRR7747070,NC_007544.1,1,100,1
SRR7448505,NC_007544.1,1,90,1
SRR8104413,NC_007544.1,1,100,1
SRR8104408,NC_007544.1,1,100,1
SRR8104410,NC_007544.1,1,100,1
SRR8104411,NC_007544.1,1,100,1
SRR8081608,NC_007544.1,1,100,1
SRR8104432,NC_007544.1,1,100,1
SRR8104435,NC_007544.1,1,100,1
SRR8104436,NC_007544.1,1,100,1
SRR8104443,NC_007544.1,1,100,1
SRR8104444,NC_007544.1,1,100,1
SRR7961323,NC_007544.1,1,100,1
SRR7825617,NC_007544.1,1,97,1
SRR8140953,NC_007544.1,1,97,1
SRR807359,NC_007544.1,1,100,2
SRR8140955,NC_007544.1,1,97,1
SRR8140976,NC_007544.1,1,97,1
SRR7895550,NC_007544.1,1,100,1
SRR8457690,NC_007544.1,1,97,1
SRR7986795,NC_007544.1,1,91,1
SRR8486204,NC_007544.1,1,100,1
SRR8434785,NC_007544.1,1,97,1
SRR8275284,NC_007544.1,2,85,1
SRR8385785,NC_007544.1,1,100,1
SRR8381837,NC_007544.1,2,85,1
SRR8381849,NC_007544.1,13,81,57
SRR8381850,NC_007544.1,7,83,68
SRR8381851,NC_007544.1,20,85,161
SRR8501717,NC_007544.1,1,90,2
SRR8381852,NC_007544.1,1,91,2
SRR8521670,NC_007544.1,1,100,1
SRR8381867,NC_007544.1,15,85,137
SRR8381868,NC_007544.1,15,85,34
SRR8870036,NC_007544.1,1,92,1
SRR868603,NC_007544.1,1,97,1
SRR817001,NC_007544.1,1,96,1
SRR8250749,NC_007544.1,2,86,1
SRR8994441,NC_007544.1,1,94,1
SRR8735948,NC_007544.1,1,96,1
SRR9000527,NC_007544.1,1,100,1
SRR8615916,NC_007544.1,2,77,1
