run_id,sequence_accession,score,percent_identity,n_reads
DRR140159,NC_003461.1,1,94,2
DRR140160,NC_003461.1,10,93,13
DRR140166,NC_003461.1,6,95,8
DRR140168,NC_003461.1,100,95,902
DRR140170,NC_003461.1,5,91,8
DRR140171,NC_003461.1,100,94,52628
DRR140172,NC_003461.1,5,94,7
DRR140173,NC_003461.1,13,95,28
DRR140174,NC_003461.1,5,86,4
DRR140176,NC_003461.1,8,96,12
DRR059771,NC_003461.1,1,97,3
DRR100359,NC_003461.1,1,91,1
DRR082664,NC_003461.1,1,100,1
DRR053673,NC_003461.1,1,90,1
DRR013848,NC_003461.1,1,100,1
DRR204905,NC_003461.1,2,86,1
DRR053761,NC_003461.1,1,96,1
DRR028843,NC_003461.1,1,100,1
DRR028847,NC_003461.1,1,100,1
DRR051494,NC_003461.1,1,100,1
DRR051495,NC_003461.1,1,100,2
DRR053771,NC_003461.1,1,96,1
DRR149011,NC_003461.1,6,86,89
DRR149012,NC_003461.1,6,85,191
DRR149013,NC_003461.1,6,85,169
DRR149014,NC_003461.1,6,85,195
DRR149015,NC_003461.1,6,86,105
DRR149016,NC_003461.1,6,85,127
DRR149017,NC_003461.1,6,86,79
ERR1250828,NC_003461.1,1,100,1
DRR149018,NC_003461.1,6,85,115
DRR083163,NC_003461.1,1,100,2
DRR031676,NC_003461.1,2,85,1
ERR1215539,NC_003461.1,1,100,1
DRR075880,NC_003461.1,1,100,4
ERR1025360,NC_003461.1,1,100,1
ERR1250832,NC_003461.1,1,100,1
ERR1013384,NC_003461.1,1,97,1
ERR1013385,NC_003461.1,1,97,4
DRR019486,NC_003461.1,1,100,1
DRR075893,NC_003461.1,1,100,2
DRR053781,NC_003461.1,1,96,1
DRR019493,NC_003461.1,2,85,1
DRR075896,NC_003461.1,1,100,1
ERR1250839,NC_003461.1,1,100,1
DRR075909,NC_003461.1,1,100,1
ERR1094791,NC_003461.1,2,75,1
DRR075913,NC_003461.1,1,100,1
ERR1332608,NC_003461.1,1,100,1
DRR021358,NC_003461.1,2,96,2
DRR053792,NC_003461.1,1,96,1
DRR031748,NC_003461.1,1,100,1
ERR1424900,NC_003461.1,1,97,2
ERR1140788,NC_003461.1,1,100,1
DRR053803,NC_003461.1,1,96,1
DRR032044,NC_003461.1,1,100,1
ERR1205322,NC_003461.1,1,88,1
ERR1247120,NC_003461.1,1,89,1
ERR1247123,NC_003461.1,1,89,6
ERR1247124,NC_003461.1,3,88,4
ERR1247125,NC_003461.1,7,88,59
DRR053814,NC_003461.1,1,96,1
DRR053815,NC_003461.1,1,96,1
DRR133312,NC_003461.1,1,100,1
DRR032097,NC_003461.1,1,93,1
ERR1094858,NC_003461.1,1,96,1
DRR053825,NC_003461.1,1,96,1
DRR032116,NC_003461.1,1,91,1
DRR053831,NC_003461.1,1,93,1
ERR1042058,NC_003461.1,1,94,1
ERR1735726,NC_003461.1,4,97,13
ERR1735727,NC_003461.1,4,98,12
ERR1735728,NC_003461.1,4,97,33
ERR1560017,NC_003461.1,1,100,1
ERR1735733,NC_003461.1,1,98,2
ERR1654744,NC_003461.1,1,88,1
ERR1108729,NC_003461.1,1,100,1
ERR1920890,NC_003461.1,1,100,2
ERR1920893,NC_003461.1,1,100,2
ERR1920896,NC_003461.1,1,100,1
ERR1873671,NC_003461.1,1,89,1
ERR1737197,NC_003461.1,1,99,2
ERR1701961,NC_003461.1,1,100,1
