run_id,sequence_accession,score,percent_identity,n_reads
ERR1097476,NC_007543.1,41,81,126
ERR1352906,NC_007543.1,5,94,10
ERR1352908,NC_007543.1,2,95,2
ERR1352910,NC_007543.1,4,94,4
ERR1302604,NC_007543.1,4,82,2
ERR1356693,NC_007543.1,13,94,22
ERR1356695,NC_007543.1,14,95,23
ERR1356697,NC_007543.1,13,95,34
ERR1356699,NC_007543.1,11,94,12
ERR1356701,NC_007543.1,8,94,10
ERR1356709,NC_007543.1,1,96,2
ERR1302663,NC_007543.1,23,83,30
ERR1356721,NC_007543.1,1,94,2
ERR1356735,NC_007543.1,7,95,6
ERR1302697,NC_007543.1,4,82,2
ERR1960624,NC_007543.1,6,95,6
ERR1356753,NC_007543.1,2,96,2
ERR1960625,NC_007543.1,7,95,14
ERR1960626,NC_007543.1,6,96,5
ERR1352952,NC_007543.1,2,97,2
ERR1302763,NC_007543.1,9,81,9
ERR1302764,NC_007543.1,13,82,21
ERR1302766,NC_007543.1,5,83,4
ERR1302770,NC_007543.1,7,82,8
ERR1740328,NC_007543.1,1,97,1
DRR001880,NC_007543.1,1,96,1
ERR1302780,NC_007543.1,2,80,2
ERR1302785,NC_007543.1,20,81,22
ERR1302789,NC_007543.1,2,80,2
ERR2179420,NC_007543.1,13,82,23
ERR1137974,NC_007543.1,1,100,1
ERR1302824,NC_007543.1,8,84,15
ERR1137984,NC_007543.1,1,100,1
ERR1302852,NC_007543.1,3,88,4
ERR1302853,NC_007543.1,21,83,34
ERR1302855,NC_007543.1,1,88,2
ERR1302856,NC_007543.1,2,84,2
ERR2597328,NC_007543.1,1,92,1
ERR1302861,NC_007543.1,3,83,2
ERR1302874,NC_007543.1,13,81,16
ERR1302875,NC_007543.1,6,89,11
ERR1302877,NC_007543.1,6,80,4
ERR1302878,NC_007543.1,4,82,2
ERR1302883,NC_007543.1,5,83,4
ERR1302913,NC_007543.1,6,89,11
ERR1302914,NC_007543.1,1,97,2
ERR2898197,NC_007543.1,2,76,1
ERR3178171,NC_007543.1,2,86,1
ERR3178198,NC_007543.1,4,89,8
ERR2718569,NC_007543.1,4,89,8
ERR3714206,NC_007543.1,1,100,1
ERR2718577,NC_007543.1,2,86,1
ERR3714220,NC_007543.1,1,100,4
ERR3714224,NC_007543.1,1,100,1
ERR2809040,NC_007543.1,1,94,1
ERR2809042,NC_007543.1,1,92,2
ERR2001266,NC_007543.1,17,84,34
ERR3714256,NC_007543.1,1,100,1
ERR2809045,NC_007543.1,15,95,19
ERR3714257,NC_007543.1,1,100,1
ERR2001270,NC_007543.1,24,83,47
ERR3170085,NC_007543.1,1,98,1
ERR2809048,NC_007543.1,5,94,5
ERR2809049,NC_007543.1,6,95,6
ERR3170088,NC_007543.1,1,96,1
ERR3170089,NC_007543.1,1,94,1
ERR3764065,NC_007543.1,1,100,1
ERR3170094,NC_007543.1,1,94,1
ERR2809050,NC_007543.1,1,97,1
ERR3170096,NC_007543.1,1,94,1
ERR2809051,NC_007543.1,14,94,17
ERR3764077,NC_007543.1,1,100,4
ERR2896583,NC_007543.1,2,87,1
ERR3764081,NC_007543.1,1,100,1
ERR2809053,NC_007543.1,1,94,1
ERR3764114,NC_007543.1,1,100,1
ERR3764115,NC_007543.1,1,100,1
ERR2809057,NC_007543.1,17,94,34
ERR2809062,NC_007543.1,20,94,51
ERR2809066,NC_007543.1,1,93,1
