run_id,sequence_accession,score,percent_identity,n_reads
DRR127219,NC_007554.1,1,100,1
DRR174980,NC_007554.1,1,100,1
DRR187037,NC_007554.1,1,100,1
ERR1518949,NC_007554.1,1,100,1
ERR276865,NC_007554.1,1,100,3
ERR2756794,NC_007554.1,2,85,1
ERR2756796,NC_007554.1,4,82,2
ERR2899801,NC_007554.1,1,94,1
ERR4010744,NC_007554.1,1,97,1
SRR1020451,NC_007554.1,1,97,1
SRR073774,NC_007554.1,1,90,1
SRR057530,NC_007554.1,1,90,1
SRR10997425,NC_007554.1,2,80,1
SRR1089122,NC_007554.1,1,100,1
SRR11113478,NC_007554.1,1,100,1
SRR094419,NC_007554.1,1,96,1
SRR10972808,NC_007554.1,2,82,1
SRR10668837,NC_007554.1,1,100,1
SRR1166380,NC_007554.1,1,89,1
SRR1162129,NC_007554.1,1,100,1
SRR10868434,NC_007554.1,1,100,1
SRR11487098,NC_007554.1,1,100,1
SRR1564301,NC_007554.1,1,100,1
SRR1124905,NC_007554.1,1,89,1
ERR1726962,NC_007554.1,1,97,1
SRR1172384,NC_007554.1,2,86,1
ERR1137687,NC_007554.1,1,100,1
SRR1146248,NC_007554.1,2,85,1
SRR2921561,NC_007554.1,1,100,1
SRR1977563,NC_007554.1,1,100,1
SRR1977565,NC_007554.1,1,93,1
SRR2432549,NC_007554.1,1,97,1
SRR2432692,NC_007554.1,1,97,1
SRR2659309,NC_007554.1,1,91,1
SRR2432795,NC_007554.1,1,97,2
SRR3356608,NC_007554.1,1,91,1
SRR3356647,NC_007554.1,1,96,1
SRR306830,NC_007554.1,1,94,1
SRR4248619,NC_007554.1,1,100,1
SRR3574613,NC_007554.1,2,80,1
SRR2432952,NC_007554.1,1,97,1
SRR3993958,NC_007554.1,1,91,1
SRR403053,NC_007554.1,1,93,1
SRR5001834,NC_007554.1,1,100,1
SRR3547490,NC_007554.1,1,96,1
SRR1952370,NC_007554.1,1,97,1
SRR3084323,NC_007554.1,1,100,1
SRR4290842,NC_007554.1,1,100,1
SRR490015,NC_007554.1,1,96,1
SRR5196703,NC_007554.1,1,93,1
SRR5451033,NC_007554.1,1,97,1
SRR488327,NC_007554.1,1,96,1
SRR5837572,NC_007554.1,1,97,1
SRR580384,NC_007554.1,1,93,1
SRR5163130,NC_007554.1,1,100,1
SRR427096,NC_007554.1,1,94,1
SRR522882,NC_007554.1,1,91,1
SRR6228893,NC_007554.1,4,100,10
SRR5889925,NC_007554.1,1,96,1
SRR6312684,NC_007554.1,1,96,1
SRR5863335,NC_007554.1,1,97,1
SRR6767078,NC_007554.1,1,91,1
SRR7047601,NC_007554.1,1,100,1
SRR7686549,NC_007554.1,1,100,1
SRR7829572,NC_007554.1,1,100,1
SRR7458470,NC_007554.1,1,93,1
SRR7659024,NC_007554.1,1,100,1
SRR8465313,NC_007554.1,1,100,1
SRR8201480,NC_007554.1,1,93,1
SRR8256350,NC_007554.1,1,100,1
SRR8954739,NC_007554.1,1,100,1
SRR8206080,NC_007554.1,1,91,1
SRR8890791,NC_007554.1,4,100,25
SRR8674964,NC_007554.1,1,94,1
SRR9005454,NC_007554.1,1,100,4
SRR9005455,NC_007554.1,1,100,1
SRR937004,NC_007554.1,2,77,1
SRR9005457,NC_007554.1,1,100,2
SRR8758323,NC_007554.1,1,100,1
SRR8614364,NC_007554.1,1,97,1
SRR9171199,NC_007554.1,1,93,1
SRR8614736,NC_007554.1,1,97,1
SRR9169215,NC_007554.1,2,84,1
SRR941634,NC_007554.1,1,100,1
SRR941647,NC_007554.1,1,100,1
SRR941653,NC_007554.1,1,100,1
SRR941655,NC_007554.1,1,100,1
SRR941658,NC_007554.1,1,100,1
SRR941663,NC_007554.1,1,100,2
SRR941685,NC_007554.1,1,100,1
SRR941686,NC_007554.1,1,100,1
SRR9706939,NC_007554.1,1,100,1
SRR935214,NC_007554.1,1,100,7
SRR935224,NC_007554.1,1,100,1
SRR9735130,NC_007554.1,1,100,2
SRR8615728,NC_007554.1,1,97,1
