run_id,sequence_accession,score,percent_identity,n_reads
DRR213119,NC_002020.1,1,100,1
ERR1046552,NC_002020.1,95,99,6388
ERR1046553,NC_002020.1,95,99,9055
ERR1046554,NC_002020.1,94,99,20119
ERR1046555,NC_002020.1,94,99,12282
ERR1046556,NC_002020.1,95,99,17942
ERR1046557,NC_002020.1,95,99,8970
ERR1046558,NC_002020.1,95,99,9352
ERR1046559,NC_002020.1,94,99,13858
ERR1046560,NC_002020.1,95,99,7841
ERR1046561,NC_002020.1,95,99,13908
ERR1046562,NC_002020.1,95,99,11695
ERR1046563,NC_002020.1,94,99,14022
ERR1046564,NC_002020.1,95,99,1131
ERR1046565,NC_002020.1,95,99,2018
ERR1046567,NC_002020.1,95,99,1249
ERR1046566,NC_002020.1,94,99,1635
ERR1046568,NC_002020.1,45,99,156
ERR1046569,NC_002020.1,91,99,1184
ERR1046570,NC_002020.1,95,99,1448
ERR1046571,NC_002020.1,94,99,3188
ERR1046572,NC_002020.1,91,99,1529
ERR1046573,NC_002020.1,92,99,1762
ERR1046574,NC_002020.1,95,99,2378
ERR1046575,NC_002020.1,95,99,1828
DRR089309,NC_002020.1,100,99,2092432
DRR089310,NC_002020.1,100,98,4640497
DRR089311,NC_002020.1,100,99,1367752
DRR089312,NC_002020.1,100,99,991348
DRR089313,NC_002020.1,100,99,1622850
DRR089314,NC_002020.1,100,98,3943958
DRR089315,NC_002020.1,100,99,1193058
DRR089316,NC_002020.1,100,99,1021982
DRR089317,NC_002020.1,100,99,1624893
DRR089318,NC_002020.1,100,98,3908551
DRR089319,NC_002020.1,100,99,607038
DRR089320,NC_002020.1,100,99,849232
DRR089322,NC_002020.1,100,98,2988941
DRR089321,NC_002020.1,100,99,1233112
DRR089323,NC_002020.1,100,99,754490
DRR089324,NC_002020.1,100,99,873946
DRR089325,NC_002020.1,100,99,1234535
DRR089326,NC_002020.1,100,98,3786962
DRR089327,NC_002020.1,100,99,1028951
DRR089328,NC_002020.1,100,99,1127239
DRR152798,NC_002020.1,12,90,24
DRR089329,NC_002020.1,100,99,980317
DRR089330,NC_002020.1,100,98,3255021
DRR089331,NC_002020.1,100,99,840364
DRR089332,NC_002020.1,100,99,813016
DRR089333,NC_002020.1,100,99,1712752
DRR129260,NC_002020.1,1,99,2
DRR089334,NC_002020.1,100,98,3846538
DRR089335,NC_002020.1,100,99,1539409
DRR089336,NC_002020.1,100,99,1228166
DRR089337,NC_002020.1,100,99,1769040
DRR205181,NC_002020.1,100,98,5935421
DRR205180,NC_002020.1,100,98,5739712
DRR205182,NC_002020.1,100,98,4257247
DRR089338,NC_002020.1,100,98,4792598
DRR205184,NC_002020.1,100,98,99540
DRR089339,NC_002020.1,100,99,1089269
DRR205185,NC_002020.1,100,98,59404
DRR089340,NC_002020.1,100,99,941605
DRR205186,NC_002020.1,100,98,93324
DRR205187,NC_002020.1,100,99,89302
DRR205188,NC_002020.1,100,98,86749
DRR205189,NC_002020.1,100,99,43140
DRR205190,NC_002020.1,100,98,31874
DRR205192,NC_002020.1,100,98,126583
DRR205191,NC_002020.1,100,98,48989
DRR205193,NC_002020.1,100,98,113134
DRR205194,NC_002020.1,100,99,71394
DRR205195,NC_002020.1,100,99,61610
DRR205196,NC_002020.1,100,99,12134
DRR205197,NC_002020.1,99,99,2533
DRR205198,NC_002020.1,100,98,2786
DRR205199,NC_002020.1,100,98,4793
DRR205200,NC_002020.1,96,99,1288
DRR205201,NC_002020.1,100,99,1552
ERR1162955,NC_002020.1,1,99,1
DRR205202,NC_002020.1,100,98,69837
DRR205203,NC_002020.1,100,98,35145
DRR205204,NC_002020.1,100,98,50484
DRR205205,NC_002020.1,100,98,83065
DRR205206,NC_002020.1,100,98,66075
DRR205207,NC_002020.1,94,99,21280
DRR148601,NC_002020.1,5,99,7
DRR148602,NC_002020.1,4,100,4
DRR148603,NC_002020.1,3,99,5
DRR148605,NC_002020.1,1,97,1
DRR148606,NC_002020.1,1,97,1
