run_id,sequence_accession,score,percent_identity,n_reads
ERR1140001,NC_005220.1,1,97,1
ERR1331724,NC_005220.1,1,97,1
ERR1042163,NC_005220.1,1,100,1
ERR2583914,NC_005220.1,1,97,1
ERR2930317,NC_005220.1,1,100,1
ERR2437888,NC_005220.1,2,85,1
ERR296105,NC_005220.1,1,91,1
ERR2953244,NC_005220.1,1,100,1
ERR3352818,NC_005220.1,1,100,1
ERR3465084,NC_005220.1,6,94,11
ERR3465085,NC_005220.1,6,96,9
ERR3465086,NC_005220.1,1,100,2
SRR10095964,NC_005220.1,1,100,2
SRR10095966,NC_005220.1,1,100,1
ERR844309,NC_005220.1,1,100,1
ERR3863885,NC_005220.1,1,100,1
SRR1041194,NC_005220.1,1,96,1
SRR10396876,NC_005220.1,1,100,1
SRR059683,NC_005220.1,1,96,1
SRR1013350,NC_005220.1,1,100,1
SRR10123704,NC_005220.1,1,100,1
SRR10162723,NC_005220.1,1,100,1
SRR10007978,NC_005220.1,1,100,1
SRR10398034,NC_005220.1,1,100,1
ERR754362,NC_005220.1,1,100,1
SRR10401502,NC_005220.1,1,100,4
SRR10588786,NC_005220.1,1,100,1
SRR10733852,NC_005220.1,1,100,2
SRR10733853,NC_005220.1,1,100,5
SRR10733854,NC_005220.1,1,100,4
SRR10733855,NC_005220.1,4,100,8
SRR10916610,NC_005220.1,1,100,2
SRR1043810,NC_005220.1,1,94,1
SRR11140656,NC_005220.1,1,100,1
SRR11140657,NC_005220.1,1,100,3
SRR11140658,NC_005220.1,1,100,2
SRR11140659,NC_005220.1,1,100,4
SRR11113484,NC_005220.1,1,100,4
SRR11085212,NC_005220.1,2,87,1
SRR11040628,NC_005220.1,1,100,1
SRR10401536,NC_005220.1,1,100,2
SRR10916670,NC_005220.1,1,100,1
SRR10545137,NC_005220.1,1,100,1
SRR10545200,NC_005220.1,1,96,1
SRR11604631,NC_005220.1,1,96,1
SRR11614691,NC_005220.1,1,100,1
SRR10401634,NC_005220.1,1,100,1
SRR10401640,NC_005220.1,1,100,1
SRR10401649,NC_005220.1,1,100,1
SRR11575242,NC_005220.1,1,97,1
SRR1699954,NC_005220.1,1,100,1
SRR1264640,NC_005220.1,1,100,1
SRR1295000,NC_005220.1,1,100,1
SRR2031930,NC_005220.1,1,97,5
SRR2032118,NC_005220.1,1,100,1
SRR3021844,NC_005220.1,1,89,1
SRR3021846,NC_005220.1,1,89,1
SRR3021848,NC_005220.1,1,94,1
SRR1964993,NC_005220.1,1,97,1
SRR3209570,NC_005220.1,1,93,1
SRR1782828,NC_005220.1,1,96,1
SRR2979306,NC_005220.1,1,100,1
SRR2029826,NC_005220.1,1,97,1
SRR3457872,NC_005220.1,1,96,2
SRR3627954,NC_005220.1,2,83,1
SRR2352162,NC_005220.1,2,85,1
SRR2983207,NC_005220.1,2,85,1
SRR1554232,NC_005220.1,2,87,1
SRR3438800,NC_005220.1,1,96,1
SRR3308926,NC_005220.1,1,93,1
SRR4254070,NC_005220.1,1,100,1
SRR040003,NC_005220.1,2,81,1
SRR2033536,NC_005220.1,1,97,1
SRR3611090,NC_005220.1,1,94,1
SRR3547442,NC_005220.1,1,100,1
SRR441163,NC_005220.1,1,97,1
SRR3657486,NC_005220.1,1,89,1
SRR445810,NC_005220.1,1,100,1
SRR1945371,NC_005220.1,1,100,1
SRR4249077,NC_005220.1,2,80,1
SRR3989442,NC_005220.1,1,94,1
SRR488278,NC_005220.1,1,100,1
SRR4436488,NC_005220.1,1,100,1
SRR4436489,NC_005220.1,1,100,1
SRR488320,NC_005220.1,1,100,1
SRR5664332,NC_005220.1,1,100,3
SRR5664334,NC_005220.1,1,100,1
SRR5664336,NC_005220.1,1,100,1
SRR566233,NC_005220.1,1,100,1
SRR5270850,NC_005220.1,1,97,1
SRR5676697,NC_005220.1,1,97,1
SRR627632,NC_005220.1,1,91,1
SRR627637,NC_005220.1,1,97,1
SRR627641,NC_005220.1,2,84,1
SRR627643,NC_005220.1,1,89,2
SRR627667,NC_005220.1,2,84,1
SRR6381395,NC_005220.1,1,100,1
SRR6258600,NC_005220.1,1,97,1
SRR520243,NC_005220.1,2,85,1
SRR6811821,NC_005220.1,1,100,2
SRR6811822,NC_005220.1,1,100,1
SRR6811829,NC_005220.1,1,100,1
SRR7457181,NC_005220.1,1,93,1
SRR7061441,NC_005220.1,1,100,1
SRR7648394,NC_005220.1,1,100,1
SRR7740863,NC_005220.1,1,100,1
SRR8126390,NC_005220.1,1,100,2
SRR8099198,NC_005220.1,1,100,1
SRR8126392,NC_005220.1,1,100,4
SRR8099199,NC_005220.1,1,100,1
SRR8099200,NC_005220.1,1,100,1
SRR768557,NC_005220.1,1,100,1
SRR8099201,NC_005220.1,2,100,3
SRR8571710,NC_005220.1,1,100,1
SRR8571713,NC_005220.1,1,100,2
SRR8571715,NC_005220.1,1,100,1
SRR7827338,NC_005220.1,1,100,1
SRR8256298,NC_005220.1,1,100,1
SRR8535294,NC_005220.1,1,96,1
SRR8166326,NC_005220.1,1,100,1
