run_id,sequence_accession,score,percent_identity,n_reads
ERR1046087,NC_007574.1,1,97,1
DRR050960,NC_007574.1,1,100,1
ERR1297773,NC_007574.1,1,100,1
ERR1223838,NC_007574.1,1,100,1
ERR1097476,NC_007574.1,6,86,7
ERR1162942,NC_007574.1,1,100,1
ERR1315270,NC_007574.1,2,82,1
ERR1297797,NC_007574.1,1,100,1
ERR1136767,NC_007574.1,1,100,2
ERR1297807,NC_007574.1,1,100,2
ERR1136772,NC_007574.1,1,100,1
ERR1136773,NC_007574.1,1,100,3
ERR1223852,NC_007574.1,1,100,1
ERR1136774,NC_007574.1,1,100,2
ERR1136775,NC_007574.1,4,100,8
ERR1136781,NC_007574.1,4,100,19
ERR1137795,NC_007574.1,4,100,15
ERR1137797,NC_007574.1,1,100,2
ERR1110336,NC_007574.1,1,100,1
ERR1137798,NC_007574.1,1,100,3
ERR1137799,NC_007574.1,1,100,2
ERR1224342,NC_007574.1,1,100,4
ERR1137800,NC_007574.1,1,100,1
ERR1136789,NC_007574.1,1,100,1
ERR1110342,NC_007574.1,1,100,2
ERR1137801,NC_007574.1,1,100,1
ERR1137802,NC_007574.1,1,100,1
ERR1110344,NC_007574.1,1,100,1
ERR1224343,NC_007574.1,1,100,2
ERR1137803,NC_007574.1,1,100,3
ERR1137804,NC_007574.1,1,100,6
ERR1466828,NC_007574.1,2,87,1
ERR1110350,NC_007574.1,1,100,2
ERR1137808,NC_007574.1,1,100,4
ERR1190926,NC_007574.1,1,100,1
ERR1137809,NC_007574.1,1,100,1
ERR1110351,NC_007574.1,1,100,2
ERR1137810,NC_007574.1,1,100,3
DRR180234,NC_007574.1,1,100,4
ERR1110433,NC_007574.1,4,100,9
ERR1216366,NC_007574.1,1,97,1
ERR1352910,NC_007574.1,3,84,2
ERR1110442,NC_007574.1,1,100,6
ERR1136812,NC_007574.1,1,100,2
ERR1136813,NC_007574.1,1,100,3
ERR1293549,NC_007574.1,1,100,1
ERR1190945,NC_007574.1,1,100,1
ERR1096948,NC_007574.1,1,91,1
ERR1110461,NC_007574.1,1,100,1
ERR1356693,NC_007574.1,13,88,14
ERR168637,NC_007574.1,1,94,1
ERR1110466,NC_007574.1,1,100,1
ERR1356695,NC_007574.1,4,87,5
ERR1136826,NC_007574.1,4,100,8
ERR1356697,NC_007574.1,7,88,10
ERR1135178,NC_007574.1,1,100,1
ERR1539432,NC_007574.1,1,100,1
ERR1136828,NC_007574.1,1,100,4
ERR1124970,NC_007574.1,2,86,1
ERR1539434,NC_007574.1,1,100,1
ERR1190962,NC_007574.1,1,100,3
ERR1136830,NC_007574.1,1,100,2
ERR1110473,NC_007574.1,1,100,1
ERR1293596,NC_007574.1,1,100,1
ERR1224356,NC_007574.1,1,100,1
ERR1136831,NC_007574.1,1,100,2
ERR1356701,NC_007574.1,10,89,12
ERR1137858,NC_007574.1,1,100,1
ERR1095679,NC_007574.1,1,97,1
ERR1539441,NC_007574.1,1,100,2
ERR1095684,NC_007574.1,1,91,1
ERR1396976,NC_007574.1,1,97,1
ERR1356705,NC_007574.1,8,91,6
ERR1728397,NC_007574.1,1,100,2
ERR1135185,NC_007574.1,1,100,1
ERR1769907,NC_007574.1,4,92,4
ERR1539453,NC_007574.1,1,100,1
ERR1137873,NC_007574.1,1,100,1
ERR1539455,NC_007574.1,1,100,1
ERR1302663,NC_007574.1,32,84,54
ERR1137878,NC_007574.1,1,100,1
DRR083552,NC_007574.1,1,100,1
ERR1018249,NC_007574.1,1,100,5
ERR1293666,NC_007574.1,1,100,1
ERR1136857,NC_007574.1,1,100,7
ERR1293669,NC_007574.1,1,100,1
ERR1135199,NC_007574.1,1,100,6
ERR2013556,NC_007574.1,1,100,6
ERR1136861,NC_007574.1,1,100,2
ERR1136862,NC_007574.1,4,100,8
ERR1389236,NC_007574.1,1,97,1
ERR1356735,NC_007574.1,6,93,8
DRR023326,NC_007574.1,2,75,1
ERR1539396,NC_007574.1,1,100,1
ERR2013562,NC_007574.1,1,100,4
ERR2013563,NC_007574.1,1,100,2
ERR1302697,NC_007574.1,3,85,2
ERR1727442,NC_007574.1,1,100,1
ERR1293303,NC_007574.1,1,100,1
ERR2017420,NC_007574.1,1,100,3
ERR2200585,NC_007574.1,1,94,1
ERR1539411,NC_007574.1,1,100,1
ERR1293713,NC_007574.1,1,100,1
ERR1136874,NC_007574.1,1,100,1
ERR1712085,NC_007574.1,1,100,1
ERR1356749,NC_007574.1,1,88,1
ERR1096250,NC_007574.1,1,94,1
ERR1539419,NC_007574.1,1,100,1
ERR1960624,NC_007574.1,6,89,7
ERR1356753,NC_007574.1,2,94,2
ERR1955180,NC_007574.1,2,83,1
ERR2167194,NC_007574.1,1,94,1
ERR209217,NC_007574.1,1,100,2
ERR1960625,NC_007574.1,6,88,6
ERR1824266,NC_007574.1,3,85,2
ERR209224,NC_007574.1,1,100,2
ERR1293742,NC_007574.1,1,100,2
ERR1711603,NC_007574.1,1,100,1
ERR1727494,NC_007574.1,1,100,1
ERR1136886,NC_007574.1,1,100,5
ERR1293744,NC_007574.1,1,100,1
ERR1442788,NC_007574.1,2,82,1
ERR1727497,NC_007574.1,1,100,2
ERR1293745,NC_007574.1,1,100,1
ERR1711610,NC_007574.1,1,100,1
ERR1137929,NC_007574.1,1,98,1
ERR1539521,NC_007574.1,1,100,1
ERR1018295,NC_007574.1,4,100,8
ERR1539522,NC_007574.1,1,100,2
ERR1711623,NC_007574.1,1,100,5
ERR1137937,NC_007574.1,1,99,2
ERR209456,NC_007574.1,1,100,1
ERR1135229,NC_007574.1,1,100,2
ERR162227,NC_007574.1,1,96,5
ERR1711630,NC_007574.1,1,100,1
ERR257746,NC_007574.1,2,84,1
ERR1137940,NC_007574.1,1,96,1
ERR162234,NC_007574.1,1,96,5
ERR1727531,NC_007574.1,1,100,2
ERR257760,NC_007574.1,2,84,2
ERR1727533,NC_007574.1,1,100,1
ERR162238,NC_007574.1,1,96,1
ERR1135233,NC_007574.1,1,100,1
ERR1578647,NC_007574.1,1,100,1
ERR1136905,NC_007574.1,1,100,5
ERR1135234,NC_007574.1,1,100,1
ERR1302763,NC_007574.1,12,84,12
ERR1302764,NC_007574.1,11,86,18
ERR162242,NC_007574.1,1,96,3
ERR1302766,NC_007574.1,11,85,8
ERR1302767,NC_007574.1,10,85,8
ERR209077,NC_007574.1,1,100,1
ERR2227358,NC_007574.1,1,100,1
ERR162248,NC_007574.1,1,96,4
ERR162249,NC_007574.1,5,96,15
ERR1110295,NC_007574.1,1,100,1
ERR162250,NC_007574.1,1,96,5
ERR1110296,NC_007574.1,2,100,2
ERR162252,NC_007574.1,1,96,5
ERR162253,NC_007574.1,4,96,8
ERR1136915,NC_007574.1,1,100,2
ERR1995250,NC_007574.1,1,100,3
ERR1578663,NC_007574.1,1,100,5
ERR162259,NC_007574.1,1,96,2
ERR1539554,NC_007574.1,1,100,1
ERR2239050,NC_007574.1,2,82,1
ERR2234930,NC_007574.1,1,91,1
ERR2696428,NC_007574.1,1,100,1
ERR2539128,NC_007574.1,1,91,1
ERR2077071,NC_007574.1,1,89,2
ERR1302785,NC_007574.1,49,85,100
ERR162264,NC_007574.1,1,96,3
ERR1302786,NC_007574.1,3,85,6
ERR2227368,NC_007574.1,1,100,1
ERR247144,NC_007574.1,1,100,1
ERR209483,NC_007574.1,1,100,2
ERR2077086,NC_007574.1,2,86,2
ERR209484,NC_007574.1,1,100,1
ERR1302787,NC_007574.1,1,89,4
ERR1539559,NC_007574.1,1,100,1
ERR1137961,NC_007574.1,1,100,1
ERR1302788,NC_007574.1,14,86,18
ERR1302789,NC_007574.1,5,85,5
ERR1539561,NC_007574.1,1,100,1
ERR209295,NC_007574.1,1,100,1
ERR209296,NC_007574.1,1,100,2
ERR209103,NC_007574.1,1,100,1
ERR209301,NC_007574.1,1,100,1
ERR1137964,NC_007574.1,1,100,1
ERR2360034,NC_007574.1,2,84,1
ERR209302,NC_007574.1,1,100,1
ERR1137965,NC_007574.1,1,98,1
ERR1110307,NC_007574.1,1,100,2
ERR1293863,NC_007574.1,1,100,1
ERR2227386,NC_007574.1,1,100,1
ERR2227387,NC_007574.1,1,100,1
ERR2539151,NC_007574.1,6,86,10
ERR1727601,NC_007574.1,1,100,2
ERR2179420,NC_007574.1,50,87,131
ERR2539153,NC_007574.1,3,87,6
ERR1135256,NC_007574.1,1,100,1
ERR1190652,NC_007574.1,1,100,1
ERR1137973,NC_007574.1,1,98,1
ERR1137974,NC_007574.1,3,98,4
ERR1110313,NC_007574.1,1,100,6
ERR1293887,NC_007574.1,1,100,1
ERR1110314,NC_007574.1,1,100,3
ERR2676684,NC_007574.1,1,100,1
ERR209519,NC_007574.1,1,100,1
ERR1727619,NC_007574.1,1,100,1
ERR1110316,NC_007574.1,1,100,2
ERR1302824,NC_007574.1,14,86,24
ERR1302825,NC_007574.1,10,84,10
ERR1136953,NC_007574.1,1,100,2
ERR209142,NC_007574.1,1,100,1
ERR1110317,NC_007574.1,1,100,1
ERR1414274,NC_007574.1,1,100,1
ERR1136958,NC_007574.1,1,100,7
ERR1137982,NC_007574.1,1,100,1
ERR2676419,NC_007574.1,1,100,2
ERR209536,NC_007574.1,1,100,2
ERR2676421,NC_007574.1,1,100,1
ERR1711720,NC_007574.1,1,100,1
ERR2539174,NC_007574.1,1,91,1
ERR2676434,NC_007574.1,1,100,1
ERR209162,NC_007574.1,1,100,1
ERR1135269,NC_007574.1,1,100,1
ERR1137984,NC_007574.1,1,98,3
ERR1999781,NC_007574.1,1,100,1
ERR209377,NC_007574.1,1,100,2
ERR1137985,NC_007574.1,1,98,1
ERR1999788,NC_007574.1,1,100,2
ERR1302852,NC_007574.1,13,85,12
ERR2331088,NC_007574.1,1,89,1
ERR1302853,NC_007574.1,22,86,37
