run_id,sequence_accession,score,percent_identity,n_reads
DRR092920,NC_003908.1,1,100,1
DRR048281,NC_003908.1,1,100,3
DRR151813,NC_003908.1,1,100,1
DRR131618,NC_003908.1,1,100,1
DRR191204,NC_003908.1,1,100,1
DRR075468,NC_003908.1,1,96,1
DRR093575,NC_003908.1,1,88,1
DRR031698,NC_003908.1,1,93,1
DRR001120,NC_003908.1,1,97,1
DRR001152,NC_003908.1,1,88,1
ERR1216414,NC_003908.1,1,92,1
ERR185153,NC_003908.1,1,93,1
ERR1223310,NC_003908.1,1,100,1
ERR1560095,NC_003908.1,1,100,2
ERR1389201,NC_003908.1,1,91,1
ERR185975,NC_003908.1,1,100,1
DRR001628,NC_003908.1,1,97,1
DRR084268,NC_003908.1,1,100,1
ERR1745405,NC_003908.1,1,100,1
ERR1745408,NC_003908.1,1,100,1
ERR1989974,NC_003908.1,1,100,1
ERR1725849,NC_003908.1,1,97,2
ERR2193707,NC_003908.1,1,97,4
ERR219201,NC_003908.1,2,85,1
ERR1663190,NC_003908.1,1,97,1
ERR1712155,NC_003908.1,1,100,1
ERR1664095,NC_003908.1,1,100,1
ERR2508844,NC_003908.1,1,100,1
ERR2508858,NC_003908.1,1,100,1
ERR2508862,NC_003908.1,1,100,1
ERR2508870,NC_003908.1,1,100,1
ERR2596943,NC_003908.1,1,89,1
ERR1712188,NC_003908.1,1,96,2
ERR2949956,NC_003908.1,1,100,1
ERR2953232,NC_003908.1,1,100,1
ERR1712207,NC_003908.1,1,100,4
ERR2881599,NC_003908.1,1,100,1
ERR1726592,NC_003908.1,1,100,1
ERR266361,NC_003908.1,1,100,2
ERR266379,NC_003908.1,1,100,1
ERR1726608,NC_003908.1,1,97,1
ERR260206,NC_003908.1,2,82,1
ERR2709767,NC_003908.1,1,92,1
ERR1711897,NC_003908.1,1,100,1
ERR1711933,NC_003908.1,4,100,8
ERR348326,NC_003908.1,1,91,1
DRR017583,NC_003908.1,1,93,1
ERR1726665,NC_003908.1,1,97,1
ERR3322430,NC_003908.1,1,94,1
DRR017596,NC_003908.1,1,91,1
ERR3653977,NC_003908.1,1,98,2
ERR3653981,NC_003908.1,3,98,10
ERR1711983,NC_003908.1,1,100,1
ERR1711986,NC_003908.1,1,100,2
ERR3639908,NC_003908.1,1,100,1
ERR1712003,NC_003908.1,1,100,1
ERR532621,NC_003908.1,2,84,1
ERR209755,NC_003908.1,2,85,1
ERR712328,NC_003908.1,1,100,1
ERR996658,NC_003908.1,1,93,1
